model_name,num_features,accuracy,precision,recall,f1-score,training_time,size_in_KB
dtc_c8_f066_n100000_2601072143,66,0.9855,0.9856,0.9855,0.9855,0.40625,952.7129
dtc_c8_f065_n100000_2601072143,65,0.9863,0.9864,0.9863,0.9863,0.390625,919.957
dtc_c8_f064_n100000_2601072143,64,0.9864,0.9865,0.9864,0.9864,0.390625,974.1904
dtc_c8_f063_n100000_2601072143,63,0.9882,0.9882,0.9882,0.9882,0.375,953.418
dtc_c8_f062_n100000_2601072143,62,0.9858,0.9859,0.9858,0.9858,0.390625,1004.1523
dtc_c8_f061_n100000_2601072143,61,0.9888,0.9888,0.9888,0.9888,0.375,947.6367
dtc_c8_f060_n100000_2601072143,60,0.9861,0.9861,0.9861,0.9861,0.359375,903.6289
dtc_c8_f059_n100000_2601072143,59,0.9882,0.9883,0.9882,0.9883,0.34375,994.6211
dtc_c8_f058_n100000_2601072143,58,0.9876,0.9876,0.9876,0.9876,0.375,969.1055
dtc_c8_f057_n100000_2601072143,57,0.9875,0.9875,0.9875,0.9875,0.34375,1014.8486
dtc_c8_f056_n100000_2601072143,56,0.9869,0.9869,0.9869,0.9869,0.359375,958.5596
dtc_c8_f055_n100000_2601072143,55,0.9885,0.9885,0.9885,0.9885,0.328125,1005.0381
dtc_c8_f054_n100000_2601072143,54,0.9884,0.9884,0.9884,0.9884,0.328125,1013.0205
dtc_c8_f053_n100000_2601072143,53,0.9852,0.9853,0.9852,0.9852,0.328125,953.2549
dtc_c8_f052_n100000_2601072143,52,0.9873,0.9874,0.9873,0.9874,0.3125,993.9941
dtc_c8_f051_n100000_2601072143,51,0.9847,0.9848,0.9847,0.9847,0.3125,995.7275
dtc_c8_f050_n100000_2601072143,50,0.9876,0.9876,0.9876,0.9876,0.296875,985.2207
dtc_c8_f049_n100000_2601072143,49,0.9857,0.9857,0.9857,0.9857,0.3125,1178.1973
dtc_c8_f048_n100000_2601072143,48,0.9872,0.9872,0.9872,0.9872,0.28125,1069.4258
dtc_c8_f047_n100000_2601072143,47,0.9885,0.9885,0.9885,0.9885,0.28125,953.1592
dtc_c8_f046_n100000_2601072143,46,0.9889,0.9889,0.9889,0.9889,0.265625,983.6377
dtc_c8_f045_n100000_2601072143,45,0.9875,0.9875,0.9875,0.9875,0.265625,982.8672
dtc_c8_f044_n100000_2601072143,44,0.9859,0.9859,0.9859,0.9859,0.265625,1010.3506
dtc_c8_f043_n100000_2601072143,43,0.9877,0.9877,0.9877,0.9877,0.265625,1075.583
dtc_c8_f042_n100000_2601072143,42,0.9878,0.9878,0.9878,0.9878,0.25,1050.3145
dtc_c8_f041_n100000_2601072143,41,0.9875,0.9875,0.9875,0.9875,0.234375,992.0527
dtc_c8_f040_n100000_2601072143,40,0.9875,0.9875,0.9875,0.9875,0.234375,1027.5361
dtc_c8_f039_n100000_2601072143,39,0.9887,0.9887,0.9887,0.9887,0.21875,1013.2695
dtc_c8_f038_n100000_2601072143,38,0.9887,0.9887,0.9887,0.9887,0.21875,999.2607
dtc_c8_f037_n100000_2601072143,37,0.9881,0.9882,0.9881,0.9882,0.203125,967.7441
dtc_c8_f036_n100000_2601072143,36,0.987,0.987,0.987,0.987,0.21875,1015.4746
dtc_c8_f035_n100000_2601072143,35,0.9864,0.9864,0.9864,0.9864,0.203125,1034.457
dtc_c8_f034_n100000_2601072143,34,0.9864,0.9864,0.9864,0.9864,0.203125,1128.1963
dtc_c8_f033_n100000_2601072143,33,0.9875,0.9876,0.9875,0.9875,0.1875,990.1885
dtc_c8_f032_n100000_2601072143,32,0.9885,0.9885,0.9885,0.9885,0.1875,1053.4209
dtc_c8_f031_n100000_2601072143,31,0.9882,0.9882,0.9882,0.9882,0.1875,979.4033
dtc_c8_f030_n100000_2601072143,30,0.9835,0.9836,0.9835,0.9835,0.171875,957.1367
dtc_c8_f029_n100000_2601072143,29,0.9891,0.9891,0.9891,0.9891,0.15625,1054.8711
dtc_c8_f028_n100000_2601072143,28,0.9887,0.9887,0.9887,0.9887,0.15625,1021.6074
dtc_c8_f027_n100000_2601072143,27,0.9881,0.9881,0.9881,0.9881,0.15625,1068.8369
dtc_c8_f026_n100000_2601072143,26,0.9862,0.9862,0.9862,0.9862,0.15625,1064.8291
dtc_c8_f025_n100000_2601072143,25,0.9886,0.9886,0.9886,0.9886,0.140625,1085.5576
dtc_c8_f024_n100000_2601072143,24,0.9871,0.9871,0.9871,0.9871,0.140625,1111.7891
dtc_c8_f023_n100000_2601072143,23,0.9886,0.9887,0.9886,0.9886,0.125,1079.0166
dtc_c8_f022_n100000_2601072143,22,0.9861,0.9862,0.9861,0.9861,0.125,1114.999
dtc_c8_f021_n100000_2601072143,21,0.9843,0.9844,0.9843,0.9843,0.125,1161.2412
dtc_c8_f020_n100000_2601072143,20,0.9869,0.987,0.9869,0.9869,0.109375,1208.2275
dtc_c8_f019_n100000_2601072143,19,0.9775,0.9779,0.9775,0.9776,0.109375,836.459
dtc_c8_f018_n100000_2601072143,18,0.9886,0.9886,0.9886,0.9886,0.109375,1089.9414
dtc_c8_f017_n100000_2601072143,17,0.9873,0.9874,0.9873,0.9874,0.109375,1272.9238
dtc_c8_f016_n100000_2601072143,16,0.9881,0.9881,0.9881,0.9881,0.09375,1118.9062
dtc_c8_f015_n100000_2601072143,15,0.9874,0.9874,0.9874,0.9874,0.09375,1192.6484
dtc_c8_f014_n100000_2601072143,14,0.9866,0.9866,0.9866,0.9866,0.078125,1313.6396
dtc_c8_f013_n100000_2601072143,13,0.9875,0.9875,0.9875,0.9875,0.09375,1277.8672
dtc_c8_f012_n100000_2601072143,12,0.9844,0.9844,0.9844,0.9844,0.09375,1351.8506
dtc_c8_f011_n100000_2601072143,11,0.9862,0.9862,0.9862,0.9862,0.0625,1293.0918
dtc_c8_f010_n100000_2601072143,10,0.9878,0.9878,0.9878,0.9878,0.078125,1364.3203
dtc_c8_f009_n100000_2601072143,9,0.9864,0.9864,0.9864,0.9864,0.0625,1318.8027
dtc_c8_f008_n100000_2601072143,8,0.9867,0.9867,0.9867,0.9867,0.0625,1442.0303
dtc_c8_f007_n100000_2601072143,7,0.978,0.9781,0.978,0.9781,0.0625,2045.0137
dtc_c8_f006_n100000_2601072143,6,0.9819,0.9819,0.9819,0.9819,0.0625,2207.7461
dtc_c8_f005_n100000_2601072143,5,0.9723,0.9723,0.9723,0.9723,0.0625,3134.4785
dtc_c8_f004_n100000_2601072143,4,0.964,0.9641,0.964,0.964,0.046875,4031.9619
dtc_c8_f003_n100000_2601072143,3,0.9515,0.9515,0.9515,0.9515,0.0625,5914.4443
dtc_c8_f002_n100000_2601072143,2,0.9157,0.9164,0.9157,0.9156,0.046875,7595.6738
dtc_c8_f001_n100000_2601072143,1,0.7282,0.7423,0.7282,0.7294,0.03125,6952.6602
