feature,importance_at_drop,iteration_dropped,rank
inter_arrival_time,Survived,None,1
channel_30_mean,0.45519471158773933,127,2
channel_60_count,0.25091672910549523,126,3
device_mac,0.1962675104649508,125,4
channel_60_mean,0.17375195613573713,124,5
l3_ip_dst_count,0.14163463207202237,123,6
stream_jitter_60_sum,0.11823485089269681,122,7
channel_10_mean,0.10022143877503438,121,8
channel_5_count,0.09631444700038838,120,9
channel_60_var,0.07451697856601334,119,10
src_ip_5_count,0.07646406136576803,118,11
channel_30_count,0.06267078977162915,117,12
stream_jitter_30_sum,0.05869301819090867,116,13
src_ip_mac_10_count,0.050550235395871376,115,14
channel_30_var,0.052224965015753064,114,15
q1_e,0.047623528286721534,113,16
stream_jitter_10_sum,0.04723270368032891,112,17
src_ip_60_count,0.04266724827750561,111,18
q1_p,0.03827366121988814,110,19
channel_10_var,0.03157858630386383,109,20
stream_60_count,0.031098999966230934,108,21
src_ip_30_count,0.029131649192457292,107,22
stream_30_count,0.028998048054943226,106,23
channel_10_count,0.026431422313437626,105,24
stream_60_var,0.026365101794598392,104,25
stream_60_mean,0.02843487726928762,103,26
min_et,0.02374510747277645,102,27
src_ip_10_count,0.02289213291616946,101,28
src_ip_mac_30_count,0.022892490451180206,100,29
most_freq_spot,0.020826777046874877,99,30
q1,0.019790193376917172,98,31
tcp_window_size,0.01871194688976845,97,32
src_ip_mac_60_count,0.018771613624078257,96,33
stream_jitter_5_sum,0.020081014305166314,95,34
channel_5_mean,0.016662911411427735,94,35
stream_10_mean,0.014346556724461685,93,36
src_ip_mac_5_count,0.016728418734783163,92,37
payload_entropy,0.016007438426163645,91,38
channel_5_var,0.01722573310679356,90,39
average_p,0.015849549831229093,89,40
stream_10_count,0.014745041935363808,88,41
stream_5_mean,0.012526002862925243,87,42
src_ip_1_count,0.012852668861848078,86,43
channel_1_var,0.008094565789363982,85,44
channel_1_count,0.010690407857787234,84,45
q3_p,0.011162430983341251,83,46
min_e,0.011808768318953822,82,47
stream_30_mean,0.010802275670085983,81,48
src_ip_mac_1_count,0.010336223608624953,80,49
l4_tcp,0.008366904003277413,79,50
stream_30_var,0.009174308586851965,78,51
stream_10_var,0.006519697018781695,77,52
sum_p,0.009093096766646769,76,53
stream_5_count,0.008306573901913836,75,54
src_ip_60_var,0.007201793573514739,74,55
stream_5_var,0.005815107458684268,73,56
stream_1_mean,0.006627099800711203,72,57
channel_1_mean,0.007096952417943376,71,58
stream_jitter_1_sum,0.006477628157111806,70,59
min_p,0.0063124543332208636,69,60
src_ip_mac_60_mean,0.0063942092139564755,68,61
var_e,0.005041796645386547,67,62
med_p,0.004906147266609209,66,63
src_ip_60_mean,0.004738535873950866,65,64
l4_udp,0.00424795944203497,64,65
src_ip_mac_60_var,0.004525046422864251,63,66
stream_jitter_60_mean,0.004641665137689332,62,67
src_port,0.004672675814106523,61,68
src_ip_mac_30_mean,0.004503823449727422,60,69
stream_1_var,0.0033431658855330175,59,70
eth_src_oui,0.004107703625327372,58,71
src_ip_30_var,0.004082496243781669,57,72
src_ip_mac_30_var,0.003630276859078476,56,73
max_p,0.0036507448002811283,55,74
src_ip_30_mean,0.0032025834411307384,54,75
dst_port,0.0038347232964768265,53,76
payload_length,0.0022006284356069434,52,77
stream_jitter_10_mean,0.003179578469591309,51,78
var_p,0.0033398347424675227,50,79
highest_layer,0.0023147165227056636,49,80
stream_jitter_30_mean,0.0031059043994999323,48,81
src_ip_mac_1_mean,0.0026001893644516756,47,82
src_ip_mac_5_mean,0.002955298709645675,46,83
src_ip_mac_10_mean,0.002786111014957985,45,84
ttl,0.0025624103068159474,44,85
iqr_p,0.0023496023828464773,43,86
src_ip_10_var,0.0023554537291002693,42,87
src_ip_mac_10_var,0.0023113005437028944,41,88
eth_dst_oui,0.0025741897105236986,40,89
stream_1_count,0.00224855860095447,39,90
src_ip_10_mean,0.0020225408218248297,38,91
stream_jitter_5_mean,0.0023957020852294537,37,92
src_ip_5_var,0.001960825683970635,36,93
eth_size,0.001162469066039436,35,94
src_ip_mac_5_var,0.0016535178140599988,34,95
src_ip_5_mean,0.0018538404741396024,33,96
stream_jitter_1_mean,0.0017290195687150824,32,97
time_since_previously_displayed_frame,0.0014692264959645217,31,98
src_ip_mac_1_var,0.0010141781259790233,30,99
src_ip_1_var,0.0009758683533860681,29,100
src_ip_1_mean,0.0012266189379533175,28,101
port_class_dst,0.0009497402315584541,27,102
dns_query_type,0.0006288756990290177,26,103
jitter,0.0006548763938387693,25,104
dns_len_qry,0.0006224287538200645,24,105
stream_jitter_60_var,0.0005179277253275397,23,106
dns_server,0.000529959368918418,22,107
stream_jitter_30_var,0.0002980916891315671,21,108
stream_jitter_5_var,0.00023848326231906092,20,109
stream_jitter_10_var,0.00021107152657976564,19,110
stream_jitter_1_var,0.00015636120980609596,18,111
dns_interval,0.0001849831150127614,17,112
dns_len_ans,2.8694100144660183e-05,16,113
icmp_checksum_status,2.061556545884952e-05,15,114
icmp_type,3.6141942175365875e-05,14,115
http_uri,5.9722262188926205e-06,13,116
icmp_data_size,1.6657475739828713e-05,12,117
handshake_sig_hash_alg_len,3.616064169113213e-06,11,118
handshake_version,6.1079774615682084e-06,10,119
handshake_extensions_length,5.749990667088489e-06,9,120
ntp_interval,3.100164882535166e-06,8,121
user_agent,5.128391847897654e-07,7,122
handshake_cipher_suites_length,3.807875581045749e-06,6,123
http_response_code,2.6002920947980395e-06,5,124
http_request_method,3.032398970596454e-07,4,125
tls_server,1.6122342653222612e-06,3,126
http_content_len,9.314220132052819e-07,2,127
http_content_type,0.0,1,128
