model_name,num_features,accuracy,precision,recall,f1-score,training_time,size_in_KB
rfc_c8_f046_n100000_2601072150,46,0.9804,0.9813,0.9804,0.9806,25.609375,62397.8428
rfc_c8_f045_n100000_2601072150,45,0.9801,0.981,0.9802,0.9803,25.484375,61504.8359
rfc_c8_f044_n100000_2601072150,44,0.9801,0.981,0.9801,0.9803,25.328125,63050.5684
rfc_c8_f043_n100000_2601072150,43,0.9801,0.9809,0.9801,0.9802,25.40625,62064.8027
rfc_c8_f042_n100000_2601072150,42,0.9808,0.9816,0.9808,0.9809,25.171875,61469.0361
rfc_c8_f041_n100000_2601072150,41,0.9807,0.9815,0.9807,0.9808,25.0625,60897.0205
rfc_c8_f040_n100000_2601072151,40,0.9808,0.9816,0.9808,0.9809,25.25,60463.2529
rfc_c8_f039_n100000_2601072151,39,0.9786,0.9796,0.9786,0.9788,20.5625,67432.4912
rfc_c8_f038_n100000_2601072151,38,0.9789,0.9798,0.9789,0.9791,20.109375,67724.2256
rfc_c8_f037_n100000_2601072151,37,0.9787,0.9797,0.9787,0.9789,19.984375,65932.708
rfc_c8_f036_n100000_2601072151,36,0.9787,0.9797,0.9787,0.9789,20.078125,66224.9375
rfc_c8_f035_n100000_2601072151,35,0.9787,0.9798,0.9787,0.9789,19.875,64961.1709
rfc_c8_f034_n100000_2601072151,34,0.9793,0.9803,0.9793,0.9795,19.484375,65953.1543
rfc_c8_f033_n100000_2601072151,33,0.9789,0.9799,0.9789,0.9791,19.59375,63810.3828
rfc_c8_f032_n100000_2601072151,32,0.9794,0.9804,0.9794,0.9796,19.125,64080.8613
rfc_c8_f031_n100000_2601072151,31,0.9793,0.9803,0.9793,0.9795,19.421875,64262.3438
rfc_c8_f030_n100000_2601072151,30,0.9792,0.9802,0.9792,0.9794,20.296875,64139.3389
rfc_c8_f029_n100000_2601072151,29,0.9737,0.9754,0.9737,0.9741,14.90625,76292.0723
rfc_c8_f028_n100000_2601072151,28,0.9738,0.9753,0.9738,0.9741,14.875,75110.5508
rfc_c8_f027_n100000_2601072151,27,0.9741,0.9757,0.9741,0.9744,14.90625,73484.5332
rfc_c8_f026_n100000_2601072151,26,0.9736,0.9753,0.9736,0.9739,15.3125,75509.2744
rfc_c8_f025_n100000_2601072151,25,0.9734,0.9752,0.9734,0.9738,14.921875,74376.7578
rfc_c8_f024_n100000_2601072151,24,0.973,0.9748,0.973,0.9733,14.421875,74344.2422
rfc_c8_f023_n100000_2601072151,23,0.9732,0.975,0.9732,0.9736,14.453125,72991.4736
rfc_c8_f022_n100000_2601072151,22,0.9731,0.9749,0.9731,0.9734,14.703125,72245.4561
rfc_c8_f021_n100000_2601072151,21,0.9733,0.9751,0.9733,0.9737,14.703125,70928.4385
rfc_c8_f020_n100000_2601072151,20,0.9731,0.9749,0.9731,0.9735,14.796875,70527.9209
rfc_c8_f019_n100000_2601072151,19,0.9651,0.968,0.9651,0.9656,8.78125,81380.9043
rfc_c8_f018_n100000_2601072151,18,0.9649,0.9679,0.9649,0.9655,9.296875,80862.3975
rfc_c8_f017_n100000_2601072151,17,0.9649,0.9678,0.9649,0.9655,9.171875,79094.6299
rfc_c8_f016_n100000_2601072151,16,0.9654,0.9684,0.9654,0.966,9.0,80096.1074
rfc_c8_f015_n100000_2601072151,15,0.9653,0.9682,0.9653,0.9659,9.390625,81659.6006
rfc_c8_f014_n100000_2601072151,14,0.9659,0.9688,0.9659,0.9665,9.109375,82296.084
rfc_c8_f013_n100000_2601072151,13,0.9659,0.9688,0.9659,0.9665,9.296875,78671.3125
rfc_c8_f012_n100000_2601072152,12,0.967,0.9699,0.967,0.9676,9.375,80724.54
rfc_c8_f011_n100000_2601072152,11,0.9676,0.9704,0.9676,0.9682,9.390625,77561.0215
rfc_c8_f010_n100000_2601072152,10,0.9679,0.9706,0.968,0.9685,9.21875,74823.2549
rfc_c8_f009_n100000_2601072152,9,0.9667,0.9696,0.9667,0.9672,9.265625,74786.7383
rfc_c8_f008_n100000_2601072152,8,0.9676,0.9703,0.9676,0.9682,9.03125,71539.4707
rfc_c8_f007_n100000_2601072152,7,0.9688,0.9713,0.9688,0.9693,8.921875,67925.7031
rfc_c8_f006_n100000_2601072152,6,0.9636,0.9673,0.9636,0.9642,8.921875,72426.1807
rfc_c8_f005_n100000_2601072152,5,0.9448,0.9522,0.9448,0.9463,9.890625,82766.9131
rfc_c8_f004_n100000_2601072152,4,0.9458,0.953,0.9458,0.9473,9.8125,83478.6455
rfc_c8_f003_n100000_2601072152,3,0.939,0.9468,0.939,0.9406,11.40625,93104.6328
rfc_c8_f002_n100000_2601072152,2,0.8857,0.8917,0.8857,0.8863,12.578125,103624.1143
rfc_c8_f001_n100000_2601072152,1,0.6462,0.6522,0.6462,0.6393,11.984375,146947.3457
