model_name,num_features,accuracy,precision,recall,f1-score,training_time,size_in_KB
fnn_c8_f060_n100000_2601072351,60,0.9377,0.9406,0.9377,0.9384,71.390625,310.1465
fnn_c8_f059_n100000_2601072352,59,0.9298,0.9343,0.9298,0.9309,50.828125,307.7822
fnn_c8_f058_n100000_2601072353,58,0.9448,0.9469,0.9448,0.9454,86.5625,307.7393
fnn_c8_f057_n100000_2601072354,57,0.9453,0.948,0.9453,0.946,92.390625,306.4521
fnn_c8_f056_n100000_2601072356,56,0.9351,0.9394,0.935,0.9361,54.6875,303.4131
fnn_c8_f055_n100000_2601072357,55,0.9402,0.9438,0.9402,0.9411,72.671875,302.6348
fnn_c8_f054_n100000_2601072358,54,0.9397,0.9429,0.9397,0.9405,72.09375,301.0908
fnn_c8_f053_n100000_2601072359,53,0.9462,0.9474,0.9462,0.9465,94.375,300.5
fnn_c8_f052_n100000_2601080000,52,0.9372,0.941,0.9372,0.938,72.421875,298.0557
fnn_c8_f051_n100000_2601080001,51,0.934,0.9362,0.934,0.9347,67.609375,296.3711
fnn_c8_f050_n100000_2601080003,50,0.9457,0.9483,0.9457,0.9463,90.375,295.7656
fnn_c8_f049_n100000_2601080004,49,0.942,0.9443,0.942,0.9427,85.265625,294.0576
fnn_c8_f048_n100000_2601080005,48,0.9387,0.9422,0.9387,0.9396,64.453125,291.6865
fnn_c8_f047_n100000_2601080006,47,0.9374,0.9401,0.9374,0.9382,63.3125,290.1416
fnn_c8_f046_n100000_2601080007,46,0.9349,0.9391,0.9349,0.9359,56.0625,288.3213
fnn_c8_f045_n100000_2601080008,45,0.9405,0.9444,0.9405,0.9415,72.375,287.4893
fnn_c8_f044_n100000_2601080009,44,0.9453,0.9474,0.9453,0.9459,93.84375,286.8477
fnn_c8_f043_n100000_2601080011,43,0.9391,0.942,0.9391,0.9399,69.046875,284.3535
fnn_c8_f042_n100000_2601080012,42,0.9425,0.9451,0.9425,0.9432,82.75,283.3525
fnn_c8_f041_n100000_2601080013,41,0.9225,0.9295,0.9225,0.9242,41.953125,280.1729
fnn_c8_f040_n100000_2601080014,40,0.9445,0.9483,0.9445,0.9454,77.1875,280.1572
fnn_c8_f039_n100000_2601080015,39,0.9483,0.9505,0.9483,0.9489,96.546875,279.4658
fnn_c8_f038_n100000_2601080017,38,0.9266,0.9308,0.9266,0.9275,43.734375,275.7617
fnn_c8_f037_n100000_2601080017,37,0.9446,0.9469,0.9446,0.9452,83.765625,275.9785
fnn_c8_f036_n100000_2601080019,36,0.9345,0.938,0.9345,0.9353,57.671875,273.2852
fnn_c8_f035_n100000_2601080020,35,0.9494,0.9529,0.9494,0.9502,109.078125,273.9512
fnn_c8_f034_n100000_2601080021,34,0.9298,0.9341,0.9298,0.9308,51.078125,269.9814
fnn_c8_f033_n100000_2601080022,33,0.9423,0.9447,0.9423,0.943,81.765625,269.7549
fnn_c8_f032_n100000_2601080023,32,0.9435,0.9463,0.9435,0.9442,90.921875,268.7617
fnn_c8_f031_n100000_2601080025,31,0.9243,0.9291,0.9243,0.9254,47.0625,265.3105
fnn_c8_f030_n100000_2601080025,30,0.9404,0.9423,0.9404,0.941,79.375,265.1885
fnn_c8_f029_n100000_2601080027,29,0.9453,0.9472,0.9453,0.9459,111.75,265.0381
fnn_c8_f028_n100000_2601080028,28,0.9314,0.9351,0.9314,0.9323,66.703125,261.6133
fnn_c8_f027_n100000_2601080029,27,0.9339,0.9387,0.9339,0.9351,68.25,260.2051
fnn_c8_f026_n100000_2601080031,26,0.9397,0.9434,0.9397,0.9406,72.015625,258.8262
fnn_c8_f025_n100000_2601080032,25,0.9369,0.9402,0.9369,0.9378,70.03125,257.2197
fnn_c8_f024_n100000_2601080033,24,0.9383,0.9418,0.9383,0.9392,90.828125,256.5771
fnn_c8_f023_n100000_2601080034,23,0.9438,0.9469,0.9438,0.9446,94.53125,255.2451
fnn_c8_f022_n100000_2601080036,22,0.9427,0.9464,0.9427,0.9436,99.90625,253.9502
fnn_c8_f021_n100000_2601080037,21,0.9333,0.9357,0.9333,0.9341,68.53125,251.0693
fnn_c8_f020_n100000_2601080038,20,0.9274,0.9337,0.9274,0.9288,58.734375,249.168
fnn_c8_f019_n100000_2601080039,19,0.9372,0.9396,0.9372,0.9379,79.453125,248.5605
fnn_c8_f018_n100000_2601080040,18,0.9382,0.9415,0.9382,0.9391,74.109375,246.8223
fnn_c8_f017_n100000_2601080041,17,0.9395,0.9426,0.9395,0.9403,81.09375,245.6143
fnn_c8_f016_n100000_2601080043,16,0.9335,0.9377,0.9335,0.9346,66.734375,243.4404
fnn_c8_f015_n100000_2601080044,15,0.9393,0.9424,0.9393,0.9402,84.9375,242.7705
fnn_c8_f014_n100000_2601080045,14,0.934,0.9383,0.934,0.9352,73.46875,240.7637
fnn_c8_f013_n100000_2601080046,13,0.9243,0.93,0.9243,0.9258,52.234375,238.2871
fnn_c8_f012_n100000_2601080047,12,0.9308,0.9362,0.9308,0.932,71.90625,237.6455
fnn_c8_f011_n100000_2601080048,11,0.9197,0.9253,0.9197,0.921,47.390625,235.0703
fnn_c8_f010_n100000_2601080049,10,0.9296,0.9334,0.9296,0.9305,96.828125,235.7139
fnn_c8_f009_n100000_2601080050,9,0.9278,0.9306,0.9278,0.9283,88.53125,233.8672
fnn_c8_f008_n100000_2601080052,8,0.923,0.9282,0.923,0.924,76.90625,231.833
fnn_c8_f007_n100000_2601080053,7,0.8881,0.8967,0.8881,0.8901,86.109375,230.7529
fnn_c8_f006_n100000_2601080054,6,0.8352,0.8508,0.8352,0.8388,59.421875,228.0332
fnn_c8_f005_n100000_2601080055,5,0.8056,0.8325,0.8056,0.8099,39.8125,225.6338
fnn_c8_f004_n100000_2601080056,4,0.8012,0.8217,0.8012,0.805,113.765625,227.4336
fnn_c8_f003_n100000_2601080057,3,0.7521,0.7733,0.7521,0.7589,41.671875,222.6582
fnn_c8_f002_n100000_2601080058,2,0.6976,0.7262,0.6976,0.7007,47.234375,221.4131
fnn_c8_f001_n100000_2601080059,1,0.4833,0.553,0.4833,0.4753,19.21875,218.6455
